step,epoch,loss,avg_epoch_loss,lr,logit_scale,logit_bias,elapsed_s
4300,1,3.954002,5.232298,9.994e-05,18.6431,-0.141155,2016.5
4350,1,3.851908,5.216058,9.993e-05,18.7189,-0.142976,2041.0
4400,1,3.76299,5.199321,9.993e-05,18.8036,-0.144897,2066.0
4450,1,3.875205,5.182378,9.993e-05,18.8898,-0.146947,2091.4
4500,1,3.940627,5.166054,9.993e-05,18.9716,-0.148984,2116.1
4550,1,3.812439,5.150672,9.992e-05,19.0493,-0.150809,2139.8
4600,1,3.775931,5.13482,9.992e-05,19.1295,-0.152636,2164.1
4650,1,3.787777,5.119663,9.992e-05,19.208,-0.154177,2187.7
4700,1,3.669616,5.1049,9.991e-05,19.2843,-0.155797,2211.2
4750,1,3.619943,5.089988,9.991e-05,19.3661,-0.157479,2234.2
4800,1,3.687919,5.075157,9.991e-05,19.4501,-0.159351,2257.4
4850,1,3.451165,5.060512,9.99e-05,19.5333,-0.161142,2280.3
4900,1,3.692311,5.046089,9.99e-05,19.612,-0.162745,2303.7
4950,1,3.61472,5.03178,9.99e-05,19.6957,-0.164381,2326.8
5000,1,3.566229,5.017739,9.989e-05,19.7738,-0.165803,2350.5
5050,1,3.698003,5.003595,9.989e-05,19.8547,-0.167219,2377.2
5100,1,3.326864,4.989416,9.989e-05,19.9365,-0.168874,2399.7
5150,1,3.675023,4.975137,9.988e-05,20.0201,-0.170649,2422.4
5200,1,3.376548,4.959588,9.988e-05,20.1064,-0.172353,2445.2
5250,1,3.596616,4.946302,9.988e-05,20.1742,-0.173808,2467.9
5300,1,3.473225,4.932782,9.987e-05,20.2528,-0.175312,2490.7
5350,1,3.660781,4.919253,9.987e-05,20.3329,-0.176723,2513.4
5400,1,3.599282,4.905889,9.986e-05,20.4148,-0.178235,2536.0
5450,1,3.326157,4.892741,9.986e-05,20.4974,-0.179695,2559.1
5500,1,3.402027,4.878927,9.986e-05,20.5872,-0.181442,2581.9
5550,1,3.677295,4.866578,9.985e-05,20.6579,-0.182736,2604.7
5600,1,3.763572,4.85498,9.985e-05,20.7243,-0.183801,2627.8
5650,1,3.546982,4.842907,9.984e-05,20.8121,-0.185221,2650.9
5700,1,3.552155,4.830712,9.984e-05,20.8967,-0.186767,2673.9
5750,1,3.299865,4.819069,9.983e-05,20.9722,-0.187962,2696.9
5800,1,3.298937,4.807291,9.983e-05,21.0602,-0.189361,2720.0
5850,1,3.141556,4.794288,9.982e-05,21.1602,-0.191026,2743.0
5900,1,3.613429,4.781712,9.982e-05,21.2436,-0.192565,2766.0
5950,1,3.177628,4.769225,9.982e-05,21.3197,-0.193804,2788.6
6000,1,3.686942,4.757435,9.981e-05,21.3967,-0.195154,2811.3
6050,1,3.638422,4.746154,9.981e-05,21.4739,-0.196396,2838.9
6100,1,3.237851,4.735902,9.98e-05,21.5379,-0.197418,2862.0
6150,1,3.267046,4.725655,9.98e-05,21.6162,-0.198557,2884.8
6200,1,3.688684,4.714719,9.979e-05,21.7048,-0.199786,2907.3
6250,1,3.432948,4.70452,9.979e-05,21.7768,-0.200928,2931.1
6300,1,3.231289,4.694272,9.978e-05,21.8498,-0.201936,2954.2
6350,1,3.298974,4.683057,9.978e-05,21.9431,-0.203273,2976.8
6400,1,3.121548,4.671448,9.977e-05,22.0331,-0.204674,2999.5
6450,1,3.004491,4.66033,9.977e-05,22.1134,-0.205888,3022.3
6500,1,3.455149,4.649712,9.976e-05,22.1836,-0.206902,3045.0
6550,1,3.283327,4.639969,9.976e-05,22.246,-0.207871,3067.6
6600,1,3.535609,4.630706,9.975e-05,22.3098,-0.208777,3090.2
6650,1,3.351415,4.621673,9.974e-05,22.378,-0.209581,3113.2
6700,1,3.290277,4.61256,9.974e-05,22.4548,-0.210465,3136.2
6750,1,3.14437,4.603565,9.973e-05,22.5168,-0.211109,3159.7
6800,1,3.337909,4.594434,9.973e-05,22.5873,-0.211908,3182.3
6850,1,3.329895,4.585536,9.972e-05,22.6581,-0.212759,3205.6
6900,1,3.558542,4.576567,9.972e-05,22.736,-0.213583,3228.5
6950,1,2.94087,4.567257,9.971e-05,22.8156,-0.214591,3251.6
7000,1,3.333634,4.558255,9.97e-05,22.8891,-0.215463,3274.5
7050,1,3.290552,4.549476,9.97e-05,22.956,-0.216285,3301.0
7100,1,3.265251,4.540876,9.969e-05,23.0279,-0.217085,3323.8
7150,1,3.018422,4.531786,9.969e-05,23.1197,-0.218194,3347.3
7200,1,2.855631,4.521632,9.968e-05,23.2166,-0.219495,3370.0
7250,1,3.536418,4.512185,9.967e-05,23.2934,-0.22059,3392.7
7300,1,3.18314,4.502824,9.967e-05,23.3623,-0.221616,3415.4
7350,1,3.113313,4.493423,9.966e-05,23.4412,-0.22268,3438.0
7400,1,3.318611,4.485435,9.966e-05,23.4914,-0.223395,3460.5
7450,1,3.391839,4.477697,9.965e-05,23.5541,-0.224247,3483.2
7500,1,3.256726,4.469158,9.964e-05,23.6354,-0.225194,3506.6
